"county_state","cum.case.num"
"Bradley County_AR",345
"Bradley County_TN",3093
"Branch County_MI",664
"Brantley County_GA",352
"Braxton County_WV",13
"Brazoria County_TX",11575
"Brazos County_TX",6659
"Breathitt County_KY",97
"Breckinridge County_KY",147
"Bremer County_IA",527
"Brevard County_FL",9399
"Brewster County_TX",220
"Briscoe County_TX",15
"Bristol Bay Borough_AK",0
"Bristol city_VA",196
"Bristol County_MA",10933
"Bristol County_RI",414
"Broadwater County_MT",18
"Bronx County_NY",53417
"Brooke County_WV",119
"Brookings County_SD",846
"Brooks County_GA",527
"Brooks County_TX",329
"Broome County_NY",1974
"Broomfield County and City_CO",695
"Broward County_FL",78012
"Brown County_IL",71
"Brown County_IN",105
"Brown County_KS",152
"Brown County_MN",224
"Brown County_NE",50
"Brown County_OH",300
"Brown County_SD",1363
"Brown County_TX",592
"Brown County_WI",10682
"Brule County_SD",147
"Brunswick County_NC",1741
"Brunswick County_VA",369
"Bryan County_GA",1179
"Bryan County_OK",1059
"Buchanan County_IA",316
"Buchanan County_MO",2240
"Buchanan County_VA",177
"Buckingham County_VA",698
"Bucks County_PA",9066
"Buena Vista city_VA",90
"Buena Vista County_IA",2057
"Buffalo County_NE",1220
"Buffalo County_SD",153
"Buffalo County_WI",164
"Bullitt County_KY",962
"Bulloch County_GA",2929
"Bullock County_AL",613
"Buncombe County_NC",3355
"Bureau County_IL",737
"Burke County_GA",843
"Burke County_NC",2242
"Burke County_ND",38
"Burleigh County_ND",4086
"Burleson County_TX",354
"Burlington County_NJ",7327
"Burnet County_TX",771
"Burnett County_WI",233
"Burt County_NE",87
"Butler County_AL",927
"Butler County_IA",293
"Butler County_KS",1046
"Butler County_KY",346
"Butler County_MO",738
"Butler County_NE",147
"Butler County_OH",6617
"Butler County_PA",1136
"Butte County_CA",2874
"Butte County_ID",43
"Butte County_SD",132
"Butts County_GA",687
"Cabarrus County_NC",4216
"Cabell County_WV",905
"Cache County_UT",3025
"Caddo County_OK",879
"Caddo Parish_LA",8884
"Calaveras County_CA",324
"Calcasieu Parish_LA",7947
"Caldwell County_KY",171
"Caldwell County_MO",119
"Caldwell County_NC",1818
"Caldwell County_TX",1629
"Caldwell Parish_LA",308
"Caledonia County_VT",34
"Calhoun County_AL",3705
"Calhoun County_AR",37
"Calhoun County_FL",630
"Calhoun County_GA",250
"Calhoun County_IA",209
"Calhoun County_IL",66
"Calhoun County_MI",1622
"Calhoun County_MS",545
"Calhoun County_SC",471
"Calhoun County_TX",851
"Calhoun County_WV",27
"Callahan County_TX",98
"Callaway County_MO",745
"Calloway County_KY",660
"Calumet County_WI",1621
"Calvert County_MD",1009
"Camas County_ID",37
"Cambria County_PA",655
"Camden County_GA",1330
"Camden County_MO",1131
"Camden County_NC",121
"Camden County_NJ",10149
"Cameron County_PA",8
"Cameron County_TX",22946
"Cameron Parish_LA",230
"Camp County_TX",363
"Campbell County_KY",928
"Campbell County_SD",41
"Campbell County_TN",522
"Campbell County_VA",485
"Campbell County_WY",390
"Canadian County_OK",2558
"Candler County_GA",475
"Cannon County_TN",324
"Canyon County_ID",8443
"Cape Girardeau County_MO",1993
"Cape May County_NJ",1046
"Carbon County_MT",133
"Carbon County_PA",478
"Carbon County_UT",142
"Carbon County_WY",243
"Caribou County_ID",136
"Carlisle County_KY",85
"Carlton County_MN",316
"Caroline County_MD",664
"Caroline County_VA",370
"Carroll County_AR",759
"Carroll County_GA",2882
"Carroll County_IA",767
"Carroll County_IL",245
"Carroll County_IN",289
"Carroll County_KY",203
"Carroll County_MD",2008
"Carroll County_MO",137
"Carroll County_MS",332
"Carroll County_NH",126
"Carroll County_OH",160
"Carroll County_TN",992
"Carroll County_VA",514
"Carson City_NV",494
"Carson County_TX",31
"Carter County_KY",220
"Carter County_MO",110
"Carter County_MT",9
"Carter County_OK",606
"Carter County_TN",1233
"Carteret County_NC",794
"Carver County_MN",1500
"Cascade County_MT",912
"Casey County_KY",283
"Cass County_IA",194
"Cass County_IL",414
"Cass County_IN",2022
"Cass County_MI",647
"Cass County_MN",219
"Cass County_MO",1591
"Cass County_ND",5728
"Cass County_NE",374
"Cass County_TX",389
"Cassia County_ID",815
"Castro County_TX",263
"Caswell County_NC",466
"Catahoula Parish_LA",443
"Catawba County_NC",3399
"Catoosa County_GA",1238
"Catron County_NM",9
"Cattaraugus County_NY",307
"Cavalier County_ND",56
"Cayuga County_NY",231
"Cecil County_MD",1125
"Cedar County_IA",282
"Cedar County_MO",151
"Cedar County_NE",100
"Centre County_PA",3044
"Cerro Gordo County_IA",1114
"Chaffee County_CO",337
"Chambers County_AL",1208
"Chambers County_TX",1377
"Champaign County_IL",5057
"Champaign County_OH",328
"Chariton County_MO",52
"Charles City County_VA",86
"Charles County_MD",2860
"Charles Mix County_SD",217
"Charleston County_SC",16046
"Charlevoix County_MI",114
"Charlotte County_FL",3152
"Charlotte County_VA",142
"Charlottesville City_VA",1380
"Charlton County_GA",641
"Chase County_KS",85
"Chase County_NE",34
"Chatham County_GA",8672
"Chatham County_NC",1735
"Chattahoochee County_GA",1683
"Chattooga County_GA",813
"Chautauqua County_KS",22
"Chautauqua County_NY",632
"Chaves County_NM",1356
